ECG,EDA,EMG,TEMP
125618,2396,822,27.00
125649,2403,825,27.00
125700,2401,823,27.00
125705,2413,822,27.00
125749,2398,823,27.00
125782,2398,823,27.00
125806,2402,823,27.00
125814,2398,823,27.00
125832,2399,825,27.00
125828,2401,827,27.00
125827,2397,826,27.00
125821,2398,821,27.00
125821,2393,826,27.00
125816,2395,823,27.00
125816,2409,825,27.00
125797,2390,823,27.00
125792,2393,823,27.00
125782,2429,824,27.00
125770,2395,823,27.00
125754,2393,821,27.00
125729,2398,821,27.00
125712,2398,819,27.00
125679,2400,819,27.00
125668,2396,826,27.00
125669,2394,827,27.00
125631,2401,821,27.00
125587,2399,822,27.00
125574,2399,822,27.00
125537,2403,822,27.00
125545,2395,823,27.00
125528,2400,823,27.00
125534,2401,823,27.00
125512,2401,826,27.00
125492,2395,826,27.00
125490,2398,825,27.00
125498,2397,827,27.00
125505,2398,821,27.00
125519,2395,825,27.00
125529,2394,821,27.00
125526,2391,819,27.00
125529,2393,823,27.00
125519,2402,823,27.00
125518,2423,822,27.00
125519,2394,822,27.00
125510,2401,822,27.00
125507,2393,817,27.00
125523,2395,818,27.00
125527,2394,819,27.00
125551,2399,823,27.00
125579,2399,825,27.00
125578,2395,822,27.00
125567,2400,822,27.00
125581,2399,822,27.00
125579,2398,822,27.00
125566,2395,822,27.00
125582,2398,823,27.00
125590,2399,823,27.00
125568,2396,822,27.00
125557,2395,822,27.00
125547,2410,820,27.00
125558,2398,822,27.00
125584,2395,821,27.00
125594,2390,820,27.00
125622,2397,822,27.00
125669,2396,817,27.00
125708,2398,821,27.00
125734,2399,822,27.00
125783,2400,821,27.00
125814,2398,823,27.00
125822,2399,822,27.00
125778,2397,823,27.00
125707,2397,821,27.00
125586,2403,822,27.00
125493,2391,823,27.00
125440,2395,822,27.00
125334,2395,823,27.00
125144,2391,825,27.00
124939,2393,822,27.00
124681,2396,822,27.00
124356,2397,822,27.00
124064,2403,823,27.00
123903,2402,822,27.00
123879,2402,819,27.00
123938,2402,817,27.00
124015,2403,816,27.00
124032,2403,820,27.00
